DOC_TYPE_CD,DOC_TYPE_VERSION_TXT,QUES_CODE_SYSTEM_CD,QUES_CODE_SYSTEM_DESC_TXT,DATA_TYPE,QUESTION_IDENTIFIER,QUES_DISPLAY_NAME,SECTION_NM,SENDING_SYSTEM_CD
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","CON145","Processing Decision","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","CON146","Initiate Follow-up Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","PART","CON147","Dispositioned By","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM100","Patient Name Type","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM101","Patient Name Prefix","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","TEXT","DEM102","Last Name","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM103","Patient Second Last Name","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","TEXT","DEM104","First Name","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","TEXT","DEM105","Middle Name","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM106","Patient Second Middle Name","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","DEM107","Suffix","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM108","Patient Name Degree","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","DEM113","Current Sex","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","DEM114","Birth Sex:","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","DATE","DEM115","Date of Birth","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM116","Patient Multiple Birth Indicator","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","NUMERIC","DEM117","Patient Birth Order","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","NUMERIC","DEM118","Patient Current Age","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM119","Patient Current Age Units","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","DEM120","Patient Current Age Reported Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","DEM121","Calculated DOB","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM123","Patient Birth City","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM124","Patient Birth State","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM125","Patient Birth County","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","DEM126","Country of Birth","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","DEM127","Is this person deceased?","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","DATE","DEM128","Deceased Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM129","Patient Deceased City","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM130","Patient Deceased State","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM131","Patient Deceased County","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM132","Patient Deceased Country","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM133","SSN:","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM134","Patients Mothers Maiden Name","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","NUMERIC","DEM135","Number of Adults in Residence","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","NUMERIC","DEM136","Number of Children in Residence","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM137","Highest Level Of Education Received","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","DEM139","Primary Occupation","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","DEM140","Marital Status","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","DEM142","Primary Language","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM144","Patient ID Type","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM146","Patient ID Assigning Authority","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM147","Patient ID Value","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","DEM152","Race","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM153","Patient Detailed Race","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM154","Patient Other Race Description","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","DEM155","Ethnicity","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM156","Patient Hispanic Detail","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM158","Patient Address Type","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","TEXT","DEM159","Street Address 1","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM159_W","Street Address 1","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","TEXT","DEM160","Street Address 2","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM160_W","Street Address 2","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","TEXT","DEM161","City","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM161_W","City","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","DEM162","State","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM162_W","State","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","TEXT","DEM163","Zip","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM163_W","Zip","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM164","Patient Address Use Code","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","DEM165","County","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM165_W","County","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM166","Patient Address Type Desc","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","DEM167","Country","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM167_W","Country","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","TEXT","DEM168","Census Tract","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM168_W","Census Tract","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM175","Patient Address Comments","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM175_W","Address Comments","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM176","Patient Telephone Type","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","TEXT","DEM177","Telephone","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM178","Patient Telephone Use Code","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","NUMERIC","DEM180","Patient Telephone Country Code","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM181","Patient Telephone Extension","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","TEXT","DEM182","Email","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM183","Patient URL","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM189","Patient Telephone Comments","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM194","Patient Role","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","TEXT","DEM196","Comments","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","TEXT","DEM197","Patient Local ID","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","DEM206","Name Information As Of Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","DEM207","Sex & Birth Information As Of Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","DEM208","Mortality Information As Of Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","DEM209","General Information As Of Date:","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","DEM210","Identification Information As Of Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","DEM211","Ethnicity Information As Of Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","DEM212","Race Information As Of Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","DEM213","Address Information As Of Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","DEM214","Telephone Information As Of Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","DEM215","Administrative Information As of Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","NUMERIC","DEM216","Reported Age:","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","DEM217","Patient Age Reported Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","DEM218","Reported Age Units","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","DATE","DEM223","Patient ID Expiration Date","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","DEM237","Within City Limits","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM238","Home Phone:","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM239","Ext.:","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM240","Work Phone:","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM241","Ext.:","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM242","Patient Detailed Race American Indian","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","DEM243","Detailed Asian Race:","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM244","Patient Detailed Race Black","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","DEM245","Detailed Native Hawaiian or Other Pacific Islander Race:","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM246","Patient Detailed Race White","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","CODED","DEM248","Patient County (FIPS Code)","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM250","Alias/Nickname","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM251","Cell Phone:","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.1","NEDSS Base System","TEXT","DEM252","Email:","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","HEP190","Was patient tested for antibody to HBsAg (anti-HBs) within 1-2 mos after last dose","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","CODED","HEP191","Was the serum anti-HBs >= 10ml U/ml?","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","TEXT","INV100","Last Name","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","TEXT","INV101","First Name","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","TEXT","INV102","Email","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","TEXT","INV103","Telephone","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","TEXT","INV104","Ext.","NULL","NBS"
"PHDC","1.3","2.16.840.1.114222.4.5.232","PHIN Questions","TEXT","INV105","Last Name","NULL","NBS"
